Ejercicio|Sociedad|Fecha de documento SAP|CAR SUNAT SAP|CAR SUNAT Archivo|Mensaje|
2026|1007|01.06.2026|2053799558103B8060000024152|2053799558103B8060000024152|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025161|2053799558103B8070000025161|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024153|2053799558103B8060000024153|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024154|2053799558103B8060000024154|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025162|2053799558103B8070000025162|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024155|2053799558103B8060000024155|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024156|2053799558103B8060000024156|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024157|2053799558103B8060000024157|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024158|2053799558103B8060000024158|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024159|2053799558103B8060000024159|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025163|2053799558103B8070000025163|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024160|2053799558103B8060000024160|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025164|2053799558103B8070000025164|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024161|2053799558103B8060000024161|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025165|2053799558103B8070000025165|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025166|2053799558103B8070000025166|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024162|2053799558103B8060000024162|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024163|2053799558103B8060000024163|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025167|2053799558103B8070000025167|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024164|2053799558103B8060000024164| Diferencia en monto PEN - 5.32 con respecto al archivo.|
2026|1007|01.06.2026|2053799558103B8060000024165|2053799558103B8060000024165|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025168|2053799558103B8070000025168|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025169|2053799558103B8070000025169|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025170|2053799558103B8070000025170|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024166|2053799558103B8060000024166|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024167|2053799558103B8060000024167|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024168|2053799558103B8060000024168|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024169|2053799558103B8060000024169|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024170|2053799558103B8060000024170|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024171|2053799558103B8060000024171|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024172|2053799558103B8060000024172|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024173|2053799558103B8060000024173|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025171|2053799558103B8070000025171|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024174|2053799558103B8060000024174|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024175|2053799558103B8060000024175|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024176|2053799558103B8060000024176|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024177|2053799558103B8060000024177|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024178|2053799558103B8060000024178|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024179|2053799558103B8060000024179|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024180|2053799558103B8060000024180|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024181|2053799558103B8060000024181|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024182|2053799558103B8060000024182|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024183|2053799558103B8060000024183|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010136|2053799558103B8050000010136|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010134|2053799558103B8050000010134|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010135|2053799558103B8050000010135|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025145|2053799558103B8070000025145|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010137|2053799558103B8050000010137|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010138|2053799558103B8050000010138|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025147|2053799558103B8070000025147|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025146|2053799558103B8070000025146|Registro OK.|
2026|1007|01.06.2026|2053799558103B8050000010139|2053799558103B8050000010139|Registro OK.|
2026|1007|01.06.2026|2053799558103B8070000025148|2053799558103B8070000025148|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024184|2053799558103B8060000024184| Diferencia en monto PEN - 2.04 con respecto al archivo.|
2026|1007|01.06.2026|2053799558103B8060000024185|2053799558103B8060000024185|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024186|2053799558103B8060000024186|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024187|2053799558103B8060000024187|Registro OK.|
2026|1007|01.06.2026|2053799558103B8060000024188|2053799558103B8060000024188|Registro OK.|
2026|1007|01.06.2026|2053799558101FE010000001212|2053799558101FE010000001212|Registro OK.|
2026|1007|02.06.2026|2053799558101F8050000000891|2053799558101F8050000000891|Registro OK.|
2026|1007|02.06.2026|2053799558101F8070000001700|2053799558101F8070000001700|Registro OK.|
2026|1007|02.06.2026|2053799558101F8070000001701|2053799558101F8070000001701|Registro OK.|
2026|1007|02.06.2026|2053799558101F8070000001702|2053799558101F8070000001702|Registro OK.|
2026|1007|02.06.2026|2053799558101F8050000000893|2053799558101F8050000000893|Registro OK.|
2026|1007|02.06.2026|2053799558101F8050000000894|2053799558101F8050000000894|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025172|2053799558103B8070000025172|Registro OK.|
